"","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web"
"78","Ann","Santiago de Surco","UTEC",7,24,"Sí",4,1600,52,4,3,1.8,"No amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","Si, No muestra","Si","Si","casas.trovit.com.pe"
"79","Maria","Lima Metropolitana","UP",9,8,"Sí",3,550,6,2,3,4.1,"Basicamente amoblada","Compartido",2,3,2,1,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","facebook.com"
"80","Ann","Santiago de Surco","UPC",6,16,"No",1,850,30,4,1,1.1,"Completamente amoblada","Privado",5,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"81","Maria","Villa Maria de Triunfo","UTP",7,20,"Sí",3,650,35,1,3,7.6,"No amoblada","Privado",2,3,2,3,"Cualquier genero","No muestra","No","No muestra","No muestra","facebook.com"
"82","Maria","Surquillo","UTEC",1,12,"Sí",2,800,17,4,3,3.5,"No amoblada","Compartido",3,4,3,3,"Solo damas","No","No","No","No","facebook.com"
"83","Maria","Santiago de Surco","UTEC",3,10,"Sí",3,780,10,2,3,1.9,"Basicamente amoblada","Compartido",3,3,2,2,"Solo hombres","No","No","No","No","facebook.com"
"84","Maria","La Victoria","ULIMA",3,20,"Sí",2,600,9,2,4,1.9,"No amoblada","Compartido",3,2,4,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"85","Ann","Santiago de Surco","URP",35,20,"Sí",5,1500,75,0,5,1.5,"No amoblada","Privado",5,5,5,3,"No menciona","No muestra","No muestra","No muestra","Si","casas.trovit.com.pe"
"86","Ann","Santiago de Surco","URP",16,18,"Sí",5,1970,60,0,4,1.3,"No amoblada","Privado",4,5,5,5,"No menciona","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"87","Leo","La Molina","PUCP",6,51,"Sí",1,1700,110,1,4,20.5,"No amoblada","Privado",4,2,3,5,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"88","Leo","San Miguel","PUCP",11,7,"Sí",5,700,15,4,3,7,"No amoblada","Privado",3,3,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"89","Maria","San Isidro","UPC",7,12,"Sí",3,700,11,4,3,3.4,"Basicamente amoblada","Compartido",4,5,3,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"90","Maria","Breña","UNMSM",8,8,"Sí",3,450,8,4,4,5.1,"Basicamente amoblada","Compartido",3,4,4,4,"Solo damas","No","No","No","No","adondevivir.com"
"91","Ann","Santiago de Surco","UMCH",8,10,"Sí",1,1450,50,1,5,0.7,"Basicamente amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"92","Maria","Lima Metropolitana","UNMSM",25,6,"Sí",3,600,15,4,4,1.8,"Basicamente amoblada","Privado",4,5,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"93","Maria","Ate","UPC",2,13,"Sí",3,850,90,4,5,3.4,"Completamente amoblada","Privado",4,5,4,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"94","Maria","La Molina","ULIMA",33,10,"Sí",4,700,14,4,3,3.8,"Basicamente amoblada","Privado",3,3,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"95","Maria","La Victoria","UPC",19,6,"Sí",3,400,16,1,5,2.3,"No amoblada","Compartido",2,3,3,1,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"96","Maria","Miraflores","UTEC",199,12,"Sí",3,750,19,4,4,4.3,"Basicamente amoblada","Compartido",4,3,3,3,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"97","Leo","San Juan de Lurigancho","PUCP",19,30,"Sí",3,800,67,4,3,20,"No amoblada","Compartido",3,2,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"98","Leo","San Miguel","PUCP",180,10,"Sí",2,750,50,2,3,14,"No amoblada","Privado",5,5,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"99","Ann","Santiago de Surco","UPN",2,21,"Sí",5,1500,45,0,5,2.7,"Basicamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","No muestra","casas.trovit.com.pe"
"100","Maria","Santiago de Surco","UPC",37,3,"Sí",3,850,18,4,4,0.45,"Basicamente amoblada","Privado",4,5,4,5,"Solo damas","No","Si","No","No","adondevivir.com"
"101","Leo","San Miguel","PUCP",48,6,"Sí",3,400,10,2,3,4,"Basicamente amoblada","Privado",5,3,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"102","Leo","San Miguel","PUCP",26,15,"Sí",1,850,18,2,2,8,"Basicamente amoblada","No aplica",2,4,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"103","Maria","Miraflores","UTEC",199,12,"Sí",4,750,20,4,3,4.4,"Basicamente amoblada","Privado",4,5,4,4,"Cualquier genero","No","No","No","No","adondevivir.com"
"104","Leo","San Miguel","PUCP",24,35,"Sí",3,555,150,1,2,26,"Basicamente amoblada","Privado",4,3,4,3,"Cualquier genero","No","No","No","Si","departamento.mercadolibre.com.pe"
"105","Leo","San Isidro","PUCP",38,29,"Sí",2,951,132,2,3,7.6,"Basicamente amoblada","Privado",3,2,3,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"106","Maria","Lince","UP",5,10,"Sí",3,600,13,4,3,2.4,"No amoblada","Compartido",2,2,3,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"107","Leo","San Martín de Porres","PUCP",120,20,"Sí",2,750,47,2,2,5.5,"Basicamente amoblada","Privado",3,4,3,4,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"108","Leo","San Martín de Porres","UTEC",49,47,"Sí",3,400,15,2,3,19,"Basicamente amoblada","Compartido",3,3,2,2,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"109","Maria","Santiago de Surco","UP",23,10,"Sí",4,700,16,4,4,2.4,"Completamente amoblada","Privado",4,4,3,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"110","Ann","Santiago de Surco","UP",34,19,"Sí",4,1200,28,4,4,1.3,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No","casas.trovit.com.pe"
"111","Leo","San Borja","UTEC",365,25,"Sí",3,750,16,4,3,8.5,"No amoblada","Privado",4,4,2,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"112","Maria","San Isidro","UPC",400,6,"Sí",4,300,40,2,4,1.3,"Basicamente amoblada","Privado",4,4,4,5,"Cualquier genero","No","Si","Si","No","adondevivir.com"
"113","Leo","San Miguel","PUCP",365,12,"Sí",2,600,15,4,3,2.6,"No amoblada","Privado",5,2,3,3,"No menciona","No","No","No","No","inmueble.mercadolibre.com.pe"
"114","Maria","La Molina","USMP",750,4,"Sí",4,750,14,4,5,1.8,"Basicamente amoblada","Compartido",4,4,4,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"115","Maria","Lince","UTEC",44,3,"Sí",3,600,12,4,5,0.5,"Basicamente amoblada","Privado",4,4,4,4,"Cualquier genero","No","No","No","No","adondevivir.com"
"116","Maria","Miraflores","UTEC",8,15,"Sí",3,800,30,3,4,3.3,"Completamente amoblada","Compartido",3,4,4,4,"Solo damas","No","No","No","No","adondevivir.com"
"117","Maria","Miraflores","UTEC",9,13,"Sí",3,900,12,3,4,2.5,"No amoblada","Privado",3,4,4,5,"Solo damas","No","No","No","No","adondevivir.com"
"118","Maria","Santiago de Surco","UPC",37,2,"Sí",4,850,18,4,3,0.5,"Basicamente amoblada","Privado",4,4,4,5,"Solo damas","No","No","No","No","adondevivir.com"
"119","Maria","Miraflores","URP",9,15,"Sí",4,750,30,4,3,3.1,"Basicamente amoblada","Compartido",4,3,3,4,"Solo damas","No","No","No","No","adondevivir.com"
"120","Maria","San Borja","ULIMA",28,13,"Sí",4,1100,18,4,4,3.2,"Basicamente amoblada","Privado",4,5,3,4,"Cualquier genero","No muestra","No muestra","No","No muestra","adondevivir.com"
"121","Maria","La Victoria","UPSJB",4,12,"Sí",3,600,9,3,4,2.9,"No amoblada","Compartido",2,3,4,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"122","Maria","San Martín de Porres","UNMSM",57,28,"Sí",4,350,16,3,4,14,"Basicamente amoblada","Privado",3,4,3,3,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"123","Maria","San Isidro","ULIMA",15,19,"Sí",4,750,15,2,4,6.1,"No amoblada","Privado",3,2,3,2,"Cualquier genero","No","No","No","No","adondevivir.com"
"124","Maria","San Borja","ULIMA",168,17,"Sí",3,700,200,5,4,5.3,"Basicamente amoblada","Privado",4,4,3,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"125","Maria","Santiago de Surco","URP",8,6,"Sí",3,800,20,2,5,1.8,"Completamente amoblada","Privado",3,4,2,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"126","Ann","Santiago de Surco","URP",11,21,"Sí",2,1400,87,4,3,1.5,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
"127","Caleb","Villa el Salvador","UCSUR",20,13,"Sí",2,300,9,3,3,7.1,"Completamente amoblada","Compartido",3,5,5,4,"Solo damas","No","Si","No","No","roommates.pe"
"128","Caleb","Surquillo","UTEC",15,11,"Sí",4,950,10,4,3,3.8,"Completamente amoblada","Privado",4,5,5,4,"Solo damas","No","No","No","No","roommates.pe"
"129","Ann","Santiago de Surco","UP",35,4,"Sí",4,1695,28,5,5,0.12,"Completamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No","No muestra","No muestra","casas.trovit.com.pe"
"130","Ann","Santiago de Surco","UTEC",38,21,"Sí",2,1700,50,3,3,1.3,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"131","Leo","Los Olivos","UTP",10,7,"Sí",3,550,15,2,3,2.9,"No amoblada","Privado",3,2,3,4,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"132","Leo","Los Olivos","UTP",120,10,"Sí",4,530,25,2,4,4.3,"Basicamente amoblada","Privado",3,4,3,4,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"133","Leo","Los Olivos","UTP",55,8,"Sí",5,1300,73,4,6,4.4,"No amoblada","Privado",2,4,4,4,"Cualquier genero","Si","No","No","No","departamento.mercadolibre.com.pe"
"134","Leo","Los Olivos","UTP",28,13,"Sí",2,350,16,2,3,6.3,"No amoblada","Privado",3,3,3,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"135","Leo","Los Olivos","UTP",6,13,"Sí",2,500,24,2,3,6.9,"No amoblada","Privado",2,3,3,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"136","Leo","Los Olivos","UTP",44,7,"Sí",3,550,42,0,4,2.8,"No amoblada","Compartido",3,4,3,3,"Cualquier genero","No","No","No","No","casa.mercadolibre.com.pe"
"137","Ann","Pueblo Libre","UARM",20,5,"Sí",5,1570,90,2,3,0.11,"No amoblada","Privado",5,5,5,4,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
"138","Leo","Los Olivos","UTP",13,10,"Sí",4,580,12,3,3,5.7,"No amoblada","Compartido",2,2,2,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"139","Leo","Comas","UPN",1095,7,"Sí",3,250,9,0,3,3.4,"No amoblada","Privado",3,4,2,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"140","Leo","Los Olivos","UPN",180,11,"Sí",3,470,12,4,3,20,"No amoblada","Privado",2,3,3,4,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"141","Ann","Pueblo Libre","PUCP",4,24,"Sí",4,1130,45,1,3,1.7,"No amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No","No muestra","No","casas.trovit.com.pe"
"142","Leo","San Juan de Lurigancho","UPN",1095,48,"Sí",3,480,35,0,3,28,"No amoblada","Privado",3,3,1,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"143","Leo","San Borja","UTEC",60,14,"Sí",3,1280,28,0,3,8.7,"No amoblada","No aplica",1,2,3,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"144","Ann","Pueblo Libre","PUCP",22,23,"Sí",5,1501,60,2,4,1.6,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"145","Leo","San Juan de Miraflores","UTEC",730,22,"Sí",2,400,160,3,5,9.5,"Basicamente amoblada","Privado",2,3,3,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"146","Leo","Callao","UPN",49,29,"Sí",3,400,15,4,5,15,"No amoblada","Privado",3,4,3,3,"No menciona","No muestra","No muestra","No muestra","No muestra","inmueble.mercadolibre.com.pe"
"147","Caleb","Villa el Salvador","UCSUR",17,16,"Sí",1,450,9,4,2,2.3,"Completamente amoblada","Compartido",5,4,5,5,"Solo damas","No","No","No","No","roommates.pe"
"148","Caleb","Chorrillos","UCSUR",23,20,"Sí",4,700,16,5,4,10,"Completamente amoblada","Privado",5,4,4,4,"Cualquier genero","No","No","No","No","roommates.pe"
"149","Ann","Pueblo Libre","UDH",11,8,"Sí",4,1570,90,3,3,0.25,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
"150","Caleb","Santiago de Surco","UTEC",5,20,"Sí",3,600,12,4,3,5,"Completamente amoblada","Privado",5,5,5,5,"Solo damas","No","No","No","No","roommates.pe"
"151","Leo","Chorrillos","UPN",60,3,"Sí",3,370,9,3,2,1,"Basicamente amoblada","Privado",3,3,3,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"152","Caleb","San Juan de Miraflores","UCSUR",12,30,"No",2,450,8,3,1,10.9,"Basicamente amoblada","Compartido",4,4,4,5,"Solo damas","No","No","No","No","roommates.pe"
"153","Ann","Pueblo Libre","PUCP",1,32,"Sí",4,1300,35,2,4,2.3,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","No muestra","casas.trovit.com.pe"
"154","Ann","San Miguel","UPC",23,24,"Sí",5,1100,40,1,2,1.8,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"155","Ann","San Miguel","UPC",16,24,"Sí",2,1000,30,1,2,1.7,"No amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"156","Ann","San Miguel","UNMSM",11,12,"Sí",5,910,30,2,3,1.1,"No amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","No","No muestra","No muestra","casas.trovit.com.pe"
"157","Ann","San Miguel","UPC",7,21,"Sí",3,1640,70,5,4,1.5,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","Si","casas.trovit.com.pe"
"158","Ann","Lince","UP",11,15,"Sí",3,1670,88,3,3,1,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
