"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web","Zona"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Kiara","Lince","UTP",4,15,"Sí",5,650,14,4,5,3,"Completamente amoblada","Compartido",5,5,4,3,"Solo hombres","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Kiara","Miraflores","UTEC",9,12,"Sí",5,800,30,4,4,3,"Completamente amoblada","Privado",5,5,4,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Maria","Santiago de Surco","URP",2,18,"Sí",3,500,12,4,3,8.4,"Basicamente amoblada","Privado",4,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Maria","San Martín de Porres","UNMSM",53,11,"Sí",2,500,20,4,3,4.4,"Completamente amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","Si","urbania.pe","Lima Norte"
"5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Kiara","Miraflores","UTEC",59,7,"Sí",1,850,16,4,4,7,"Basicamente amoblada","Privado",5,4,4,3,"Solo damas","No muestra","Si","No muestra","No muestra","urbania.pe","Lima Oeste"
"6",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Maria","San Borja","UPSJB",27,6,"Sí",3,750,90,4,4,1.7,"Completamente amoblada","Compartido",4,4,5,4,"Solo damas","No","No","No","No","urbania.pe","Lima Oeste"
"7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Kiara","Miraflores","UDEP",16,23,"Sí",5,730,20,0,5,2.5,"Completamente amoblada","Compartido",2,5,4,4,"No menciona","No","No","No muestra","No muestra","urbania.pe","Lima Oeste"
"8",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Kiara","Breña","UNFV",3,15,"Sí",2,500,13,4,5,1.7,"No amoblada","Privado",3,4,4,3,"No menciona","No muestra","No","No","No","urbania.pe","Lima Oeste"
"9",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Caleb","San Miguel","UPC",5,7,"Sí",2,500,15,4,3,2,"Completamente amoblada","Compartido",5,4,3,4,"Solo damas","No","No","No","No","urbania.pe","Lima Oeste"
"10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Kiara","Jesús María","UP",12,5,"Sí",3,650,9,2,5,0.4,"Completamente amoblada","No aplica",4,4,4,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"11",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Maria","Barranco","UTEC",133,8,"Sí",3,700,12,4,5,2.4,"Completamente amoblada","Compartido",4,3,4,3,"Cualquier genero","No","No","No","No","urbania.pe","Lima Oeste"
"12",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Ann","San Miguel","UPC",4,14,"Sí",5,500,12,2,5,1.3,"Completamente amoblada","Privado",4,4,4,5,"Cualquier genero","No muestra","No muestra","No muestra","No","urbania.pe","Lima Oeste"
"13",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Ann","San Miguel","UPC",1,8,"Sí",5,590,22,4,5,0.55,"No amoblada","Privado",4,4,5,5,"Solo damas","No muestra","No","No","No","urbania.pe","Lima Oeste"
"14",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Ann","San Miguel","UPC",8,18,"Sí",2,550,20,4,2,1.3,"Basicamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No","No muestra","No, No muestra","urbania.pe","Lima Oeste"
"15",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"Ann","San Miguel","UPC",37,6,"Sí",5,590,25,4,5,0.45,"No amoblada","Privado",5,5,5,3,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"16",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Maria","Santiago de Surco","URP",23,6,"Sí",2,950,15,4,5,1.9,"No amoblada","Privado",5,5,3,3,"Cualquier genero","No","No","No","No","urbania.pe","Lima Oeste"
"17",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"Caleb","Santiago de Surco","URP",18,2,"Sí",3,550,30,4,4,0.5,"Completamente amoblada","Privado",4,4,3,2,"Solo hombres","No","No muestra","No","No","urbania.pe","Lima Oeste"
"18",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Ann","San Miguel","UPC",21,4,"Sí",5,750,20,4,5,0.29,"Completamente amoblada","Privado",5,5,5,5,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"19",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"Maria","Santiago de Surco","UTEC",4,10,"Sí",3,700,12,4,3,3.1,"Basicamente amoblada","Compartido",4,2,3,3,"Cualquier genero","No","No","No","No","urbania.pe","Lima Oeste"
"20",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,"Ann","Barranco","UTEC",6,1,"Sí",5,1100,63,4,5,0.11,"Basicamente amoblada","Privado",5,5,5,5,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"21",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Ann","Miraflores","UTEC",11,15,"Sí",5,1100,180,4,5,0.9,"Completamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"22",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Ann","Miraflores","UTEC",8,23,"Sí",5,1200,76,4,4,1.6,"Basicamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No","No muestra","No","urbania.pe","Lima Oeste"
"23",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,"Ann","Miraflores","UTEC",59,24,"Sí",4,1600,30,4,4,1.7,"Basicamente amoblada","Privado",5,5,5,3,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"24",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"Leo","Santiago de Surco","UPC",43,6,"Sí",3,600,17,2,2,5,"No amoblada","Privado",3,4,3,3,"No menciona","No muestra","No muestra","No muestra","No muestra","listado.mercadolibre.com.pe","Lima Oeste"
"25",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,"Leo","Miraflores","UPC",6,30,"Sí",5,2220,70,4,3,9.1,"Completamente amoblada","Privado",3,3,3,3,"Cualquier genero","No muestra","Si","No muestra","No muestra","departamento.mercadolibre.com.pe","Lima Oeste"
"26",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,"Leo","San Juan de Miraflores","UPC",730,16,"Sí",5,400,160,4,5,7.6,"Basicamente amoblada","Privado",3,3,3,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe","Lima Sur"
"27",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"Caleb","Barranco","UTEC",60,15,"Sí",4,790,5,0,5,2,"Basicamente amoblada","Compartido",5,4,3,4,"Cualquier genero","No","No","No","No","roommates.pe","Lima Oeste"
"28",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,"Ann","Jesús María","UPC",3,4,"Sí",4,800,12,4,3,0.3,"Completamente amoblada","Privado",5,5,5,5,"Cualquier genero","No","No","No muestra","No","urbania.pe","Lima Oeste"
"29",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Ann","Jesús María","UP",6,20,"Sí",5,900,35,4,1,1.4,"Completamente amoblada","Privado",5,5,5,5,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"30",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,"Ann","Lince","UP",6,6,"Sí",5,1200,90,4,1,0.4,"Completamente amoblada","Privado",4,5,5,5,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"31",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,"Caleb","Santiago de Surco","UTEC",7,15,"Sí",2,650,6,4,2,1.4,"Basicamente amoblada","Compartido",4,4,5,3,"Solo hombres","Si","No","Si","No","roommates.pe","Lima Oeste"
"32",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,"Caleb","Miraflores","UTEC",23,13,"Sí",5,900,8,4,5,2.5,"Completamente amoblada","Compartido",5,5,5,4,"Solo damas","No","No","No","No","roommates.pe","Lima Oeste"
"33",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,"Caleb","Miraflores","UTEC",30,15,"Sí",5,950,12,4,4,2.5,"Completamente amoblada","Compartido",5,5,4,4,"Cualquier genero","Si","No","No","No","roommates.pe","Lima Oeste"
"34",34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,"Caleb","Surquillo","UTEC",23,20,"Sí",4,850,5.2,0,3,5.2,"Completamente amoblada","Compartido",5,4,4,4,"Solo damas","No","No","No","No","roommates.pe","Lima Oeste"
"35",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,"Maria","Miraflores","UTEC",8,9,"Sí",3,700,12,2,3,2,"Basicamente amoblada","Compartido",2,3,2,4,"Cualquier genero","No","No","No","No","facebook.com","Lima Oeste"
"36",36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,"Leo","Ate","ESAN",26,20,"Sí",3,850,68,1,3,9.5,"No amoblada","Privado",4,5,3,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","departamento.mercadolibre.com.pe","Lima Este"
"37",37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,"Leo","La Molina","ESAN",7,15,"Sí",4,750,18,4,2,7.3,"Completamente amoblada","Privado",4,2,5,2,"No menciona","No muestra","No muestra","No muestra","No muestra","departamento.mercadolibre.com.pe","Lima Oeste"
"38",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,"Leo","La Molina","ESAN",7,14,"Sí",5,650,134,1,3,7.4,"Basicamente amoblada","Privado",4,5,3,4,"No menciona","No muestra","Si","No muestra","No muestra","departamento.mercadolibre.com.pe","Lima Oeste"
"39",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,"Leo","San Juan de Miraflores","ESAN",730,14,"Sí",2,400,160,1,3,9.9,"No amoblada","Privado",3,4,2,4,"No menciona","No muestra","No","No muestra","No muestra","departamento.mercadolibre.com.pe","Lima Sur"
"40",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,"Leo","San Juan de Miraflores","ESAN",700,15,"Sí",3,400,160,4,2,9.7,"No amoblada","Privado",4,5,3,4,"No menciona","No muestra","No","No muestra","No","departamento.mercadolibre.com.pe","Lima Sur"
"41",41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,"Kiara","Pueblo Libre","PUCP",15,15,"Sí",2,850,75,1,2,3,"Completamente amoblada","Compartido",4,5,4,5,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"42",42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,"Kiara","Santiago de Surco","URP",20,6,"Sí",2,550,30,1,2,0.75,"Completamente amoblada","Privado",4,4,4,3,"Solo hombres","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"43",43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,"Kiara","Santiago de Surco","UPN",78,16,"Sí",2,620,18,2,4,2.4,"No amoblada","Compartido",4,5,4,4,"Solo damas","No muestra","No","No","No muestra","urbania.pe","Lima Oeste"
"44",44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,"Kiara","Surquillo","UDEP",10,21,"No",3,1000,25,1,5,2.5,"Completamente amoblada","Privado",5,5,4,5,"Solo damas","No muestra","Si","No muestra","No muestra","urbania.pe","Lima Oeste"
"45",45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,"Kiara","San Miguel","UPC",8,13,"Sí",3,500,15,2,5,3,"Completamente amoblada","Compartido",5,4,4,5,"Solo damas","No muestra","No","No muestra","No","urbania.pe","Lima Oeste"
"46",46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,"Kiara","Miraflores","UDEP",6,10,"Sí",1,700,12,1,2,1.2,"Completamente amoblada","Compartido",3,5,4,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"47",47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,"Kiara","Chorrillos","UPC",41,8,"Sí",3,800,20,2,5,0.65,"Basicamente amoblada","Privado",5,3,4,4,"No menciona","No muestra","Si","No muestra","No muestra","urbania.pe","Lima Oeste"
"48",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,"Kiara","Chorrillos","UPSJB",35,8,"Sí",1,620,10,4,5,0.6,"Completamente amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"49",49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,"Kiara","Lince","UPLA",12,12,"Sí",4,650,10,2,5,1.5,"Completamente amoblada","Privado",5,4,5,4,"Solo hombres","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"50",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Kiara","Pueblo Libre","PUCP",9,15,"Sí",5,850,75,4,3,3.5,"Completamente amoblada","Privado",5,5,4,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"51",51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,"Kiara","Santiago de Surco","UTEC",5,36,"Sí",5,500,12,0,5,5.5,"Completamente amoblada","Privado",3,4,5,2,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"52",52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,"Kiara","Santiago de Surco","URP",7,32,"Sí",5,650,20,2,4,4,"Basicamente amoblada","Privado",4,4,4,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"53",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,"Kiara","Santiago de Surco","Autónoma",50,18,"Sí",3,500,12,4,5,5.6,"Completamente amoblada","Privado",4,5,4,4,"Solo damas","No muestra","No","No muestra","No muestra","urbania.pe","Lima Oeste"
"54",54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,"Kiara","Santiago de Surco","UPC",63,31,"Sí",5,600,20,4,5,4.6,"No amoblada","Compartido",3,4,5,4,"Solo damas","No muestra","No","No","No","urbania.pe","Lima Oeste"
"55",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,"Kiara","Santiago de Surco","ULIMA",12,36,"Sí",5,750,20,4,5,8,"No amoblada","Privado",4,5,4,3,"Solo damas","No muestra","No","No muestra","No muestra","urbania.pe","Lima Oeste"
"56",56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,"Kiara","Lince","PUCP",42,30,"Sí",5,600,12,4,4,5.7,"No amoblada","Privado",4,4,4,3,"No menciona","No muestra","No","No muestra","No","urbania.pe","Lima Oeste"
"57",57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,"Kiara","San Isidro","UPC",2,24,"Sí",5,600,20,0,5,4,"No amoblada","No aplica",1,4,5,2,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"58",58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,"Kiara","San Isidro","UPC",5,4,"Sí",5,800,12,4,5,0.3,"Completamente amoblada","Privado",4,4,5,5,"No menciona","No","No","No","No","urbania.pe","Lima Oeste"
"59",59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,"Kiara","Pueblo Libre","UARM",70,4,"Sí",5,900,23,4,5,0.29,"Completamente amoblada","Privado",5,5,4,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"60",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"Kiara","Chorrillos","UPC",2,28,"Sí",5,590,16,4,4,4.8,"Basicamente amoblada","Compartido",4,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"61",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,"Kiara","Breña","UPN",16,10,"Sí",4,500,8,0,5,2,"Basicamente amoblada","Compartido",4,5,4,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"62",62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,"Leo","Ate","UNMSM",1,30,"Sí",5,1450,55,2,3,25,"Basicamente amoblada","Privado",4,3,3,4,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe","Lima Este"
"63",63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,"Kiara","San Miguel","PUCP",7,10,"Sí",5,500,12,1,4,2,"Basicamente amoblada","Privado",2,4,4,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"64",64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,"Kiara","La Victoria","USIL",2,36,"Sí",5,600,9,0,5,8,"No amoblada","Compartido",1,4,4,5,"No menciona","No muestra","No","No muestra","No","urbania.pe","Lima Oeste"
"65",65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,"Kiara","San Borja","UPC",22,27,"Sí",5,1100,30,2,5,4.5,"Completamente amoblada","Privado",5,5,5,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"66",66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,"Kiara","Miraflores","UDEP",1,8,"Sí",5,980,14,4,4,0.8,"Completamente amoblada","No aplica",4,5,4,4,"No menciona","No muestra","No","No muestra","No muestra","urbania.pe","Lima Oeste"
"67",67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,"Kiara","San Miguel","PUCP",10,30,"Sí",5,500,18,0,4,5,"No amoblada","Privado",1,5,4,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"68",68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,"Kiara","Cercado de Lima","UNMSM",163,23,"Sí",5,510,20,4,5,5.5,"Basicamente amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"69",69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,"Kiara","Santiago de Surco","UTEC",29,32,"Sí",5,750,20,2,4,5.4,"Completamente amoblada","Privado",3,5,5,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"70",70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,"Kiara","Santiago de Surco","UTEC",59,26,"Sí",5,850,15,2,3,3.5,"Completamente amoblada","Privado",4,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"71",71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,"Kiara","Miraflores","UDEP",22,8,"Sí",5,1300,25,4,3,2,"Completamente amoblada","Privado",4,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"72",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,"Kiara","Santiago de Surco","UTEC",6,33,"Sí",4,1500,65,0,3,5.5,"No amoblada","Privado",1,4,5,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"73",73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,"Kiara","La Molina","USMP",23,2,"Sí",4,650,18,4,4,0.012,"Basicamente amoblada","Privado",1,5,4,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"74",74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,"Kiara","San Borja","UPC",1,33,"Sí",4,800,12,1,4,6,"Basicamente amoblada","Privado",3,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"75",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,"Kiara","Santiago de Surco","UPC",10,32,"Sí",5,500,25,0,2,6,"No amoblada","Privado",3,4,4,4,"No menciona","No muestra","No","No muestra","No","urbania.pe","Lima Oeste"
"76",76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,"Ann","Barranco","UTEC",12,20,"Sí",1,1800,42,4,5,1.4,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe","Lima Oeste"
"77",77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,"Kiara","Miraflores","UTEC",8,13,"Sí",3,900,12,1,3,2.4,"Basicamente amoblada","Privado",4,5,5,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"78",78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,"Ann","Santiago de Surco","UTEC",7,24,"Sí",4,1600,52,4,3,1.8,"No amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","Si, No muestra","Si","Si","casas.trovit.com.pe","Lima Oeste"
"79",79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,"Maria","Lima Metropolitana","UP",9,8,"Sí",3,550,6,2,3,4.1,"Basicamente amoblada","Compartido",2,3,2,1,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","facebook.com","Lima Oeste"
"80",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"Ann","Santiago de Surco","UPC",6,16,"No",1,850,30,4,1,1.1,"Completamente amoblada","Privado",5,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe","Lima Oeste"
